State,State Code,County,County Code,Gender,Gender Code,Race,Race Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
Alabama,1,"Baldwin County, AL",1003,Female,F,White,2106-3,30-34 years,30-34,10,81334,Unreliable
Alabama,1,"Baldwin County, AL",1003,Female,F,White,2106-3,35-39 years,35-39,11,89853,Unreliable
Alabama,1,"Baldwin County, AL",1003,Female,F,White,2106-3,40-44 years,40-44,22,98026,22.4
Alabama,1,"Baldwin County, AL",1003,Female,F,White,2106-3,45-49 years,45-49,18,101144,Unreliable
Alabama,1,"Baldwin County, AL",1003,Female,F,White,2106-3,50-54 years,50-54,17,102538,Unreliable
Alabama,1,"Baldwin County, AL",1003,Female,F,White,2106-3,55-59 years,55-59,16,100618,Unreliable
Alabama,1,"Blount County, AL",1009,Female,F,White,2106-3,50-54 years,50-54,11,33057,Unreliable
Alabama,1,"Calhoun County, AL",1015,Female,F,White,2106-3,30-34 years,30-34,14,48747,Unreliable
Alabama,1,"Cullman County, AL",1043,Female,F,White,2106-3,50-54 years,50-54,10,48939,Unreliable
Alabama,1,"Cullman County, AL",1043,Female,F,White,2106-3,55-59 years,55-59,11,46053,Unreliable
Alabama,1,"Etowah County, AL",1055,Female,F,White,2106-3,35-39 years,35-39,10,50340,Unreliable
Alabama,1,"Etowah County, AL",1055,Female,F,White,2106-3,40-44 years,40-44,10,53998,Unreliable
Alabama,1,"Etowah County, AL",1055,Female,F,White,2106-3,45-49 years,45-49,15,56004,Unreliable
Alabama,1,"Jefferson County, AL",1073,Female,F,Black or African American,2054-5,30-34 years,30-34,11,189688,Unreliable
Alabama,1,"Jefferson County, AL",1073,Female,F,Black or African American,2054-5,35-39 years,35-39,12,184338,Unreliable
Alabama,1,"Jefferson County, AL",1073,Female,F,Black or African American,2054-5,40-44 years,40-44,15,191018,Unreliable
Alabama,1,"Jefferson County, AL",1073,Female,F,Black or African American,2054-5,45-49 years,45-49,11,194002,Unreliable
